DEVICEID,TRAVELID,SJ,LANEID,SPEED,FTNODE
915,5dacd43b6bc20f1f37e56daf44dd9a70,2019/7/3 6:00,1.19E+18,35.32860028,5021_5012
915,a4175f4725946c733894d87ac98151a6,2019/7/3 6:00,3,36.70603659,5021_5012
915,36a171dfb169c0968158a42ff5709290,2019/7/3 6:00,3,35.08497098,5021_5012
915,652c4f58e9cffc91602a858a03b53b91,2019/7/3 6:00,3,35.20783101,5021_5012
916,4f05ebc88defbb7810aa5c47384e29e2,2019/7/3 6:00,4,32.62132713,5021_5012
916,ab0e918011c65db8fae15e0fad677f99,2019/7/3 6:00,4,35.46862447,5021_5012
916,cb7bddf17ad672ade0bdcf56a4026139,2019/7/3 6:00,3,33.3241167,5021_5012
916,a31fac68e7d24bce2af623d972c2a4e6,2019/7/3 6:00,2,35.21663419,5021_5012
916,40a874c5523462c2d3f02080aaba193e,2019/7/3 6:00,4,20.15031427,5021_5012
916,81fc0d95efa7962e4248566a7c87e16f,2019/7/3 6:00,4,58.09810446,5021_5012
916,1ba5a697ba038be3b1b0ef126ebb571e,2019/7/3 6:00,4,35.1796948,5021_5012
916,a233a90889db3f4e983c0232cb01c6e9,2019/7/3 6:00,3,28.80240876,5021_5012
915,9170283e8c6f495679454182e718abeb,2019/7/3 6:01,3,30.00083388,5021_5012
915,1dcd836acba6ee8e86a72ef72ae2e9a7,2019/7/3 6:01,3,35.53162034,5021_5012
915,812b5233937a00e7180e6da75b7a3829,2019/7/3 6:01,1.19E+18,27.5735036,5021_5012
915,8deada9dce750c184799299f1ea3b1a8,2019/7/3 6:01,1,35.23002908,5021_5012
915,96e17f92a4a5b8b06153f4a6cf0f7e38,2019/7/3 6:01,3,35.07204587,5021_5012
916,5dacd43b6bc20f1f37e56daf44dd9a70,2019/7/3 6:01,2,35.32860028,5021_5012
916,1dcd836acba6ee8e86a72ef72ae2e9a7,2019/7/3 6:01,3,35.53162034,5021_5012
